Departamento,Municipio,cod_mun,Altura,Clima
Valle del Cauca,Riofrío,76616, 969 ,Templado
Valle del Cauca,Yotoco,76890, 972 ,Templado
Valle del Cauca,Candelaria,76130, 975 ,Templado
Valle del Cauca,Jamundí,76364, 975 ,Cálido seco
Valle del Cauca,La Unión,76400, 975 ,Templado
Valle del Cauca,Bolívar,76100, 978 ,Templado
Boyacá,Paya,15533, 980 ,Cálido húmedo
Santander,Cabrera,68121, 980 ,Cálido seco
Valle del Cauca,San Pedro,76670, 980 ,Templado
Tolima,Falan,73270, 983 ,Cálido húmedo
Valle del Cauca,El Cerrito,76248, 987 ,Templado
Valle del Cauca,Vijes,76869, 987 ,Templado
Cundinamarca,El Colegio,25245, 990 ,Templado
Cundinamarca,Guaduas,25320, 992 ,Cálido húmedo
Valle del Cauca,Andalucía,76036, 995 ,Templado
Valle del Cauca,Yumbo,76892, 995 ,Templado
Caldas,Viterbo,17877, 998 ,Cálido húmedo
Antioquia,Hispania,5353," 1,000 ",Templado
Antioquia,San Rafael,5667," 1,000 ",Templado
Huila,Suaza,41770," 1,000 ",Templado
Nariño,Policarpa,52540," 1,000 ",Templado
Valle del Cauca,Palmira,76520," 1,001 ",Templado
Santander,Pie de Cuesta,68547," 1,005 ",Templado
Antioquia,San Carlos,5649," 1,010 ",Templado
Norte de Santander,Convención,54206," 1,020 ",Templado
Cundinamarca,Pandi,25524," 1,024 ",Templado
Norte de Santander,Gramalote,54313," 1,025 ",Templado
Cauca,Miranda,19455," 1,032 ",Templado
Tolima,Icononzo,73352," 1,034 ",Templado
Valle del Cauca,Ansermanuevo,76041," 1,035 ",Templado
Antioquia,Cisneros,5190," 1,038 ",Templado
Valle del Cauca,Florida,76275," 1,038 ",Templado
Boyacá,Otanche,15507," 1,040 ",Templado
Antioquia,San Luís,5660," 1,050 ",Templado
Huila,La Plata,41396," 1,050 ",Templado
Norte de Santander,Hacarí,54344," 1,050 ",Templado
Norte de Santander,Bochalema,54099," 1,051 ",Templado
Cauca,Corinto,19212," 1,052 ",Templado
Santander,Lebrija,68406," 1,055 ",Templado
Santander,Santa Helena del Opón,68720," 1,060 ",Templado
Valle del Cauca,Pradera,76563," 1,070 ",Templado
Cauca,Santander de Quilichao,19698," 1,071 ",Templado
Valle del Cauca,Tulúa,76834," 1,073 ",Templado
Cauca,Buenos Aires,19110," 1,075 ",Templado
Huila,Altamira,41026," 1,079 ",Templado
Santander,Simacota,68745," 1,080 ",Templado
Cauca,Caloto,19142," 1,085 ",Templado
Boyacá,Ciénaga,15189," 1,090 ",Templado
Santander,Capitanejo,68147," 1,090 ",Templado
Boyacá,Labranzagrande,15377," 1,100 ",Templado
Cauca,Villa Rica,19845," 1,100 ",Templado
Chocó,San José del Palmar,27660," 1,100 ",Templado
Huila,Algeciras,41020," 1,100 ",Templado
Huila,Timaná,41807," 1,100 ",Templado
Santander,Landázuri,68385," 1,100 ",Templado
Valle del Cauca,Caicedonia,76122," 1,100 ",Templado
Valle del Cauca,Ginebra,76306," 1,100 ",Templado
Arauca,Saravena,81736," 1,100 ",Templado
Casanare,Chámeza,85015," 1,100 ",Templado
Antioquia,Valdivia,5854," 1,102 ",Templado
Cundinamarca,Nocaima,25491," 1,105 ",Templado
Cundinamarca,Quebradanegra,25592," 1,105 ",Templado
Boyacá,Pauna,15531," 1,121 ",Templado
Huila,Íquira,41357," 1,123 ",Templado
Antioquia,Ebéjico,5240," 1,125 ",Templado
Norte de Santander,Bucarasica,54109," 1,125 ",Templado
Santander,Pinchote,68549," 1,133 ",Templado
Caldas,Norcasia,17495," 1,135 ",Templado
Cundinamarca,Quipile,25596," 1,143 ",Templado
Cesar,Río de oro,20614," 1,150 ",Templado
Casanare,Támara,85400," 1,157 ",Templado
Norte de Santander,Teorama,54800," 1,158 ",Templado
Cauca,Mercaderes,19450," 1,167 ",Templado
Tolima,Ibagué,73001," 1,168 ",Templado
Santander,Palmas del Socorro,68524," 1,170 ",Templado
Norte de Santander,Chinácota,54172," 1,175 ",Templado
Santander,Chima,68176," 1,177 ",Templado
Nariño,Ricaurte,52612," 1,181 ",Templado
Caldas,Supía,17777," 1,183 ",Templado
Cundinamarca,Nimaima,25489," 1,185 ",Templado
Quindio,La Tebaida,63401," 1,190 ",Templado
Cundinamarca,Sasaima,25718," 1,191 ",Templado
Cundinamarca,La Mesa,25386," 1,198 ",Templado
Antioquia,Briceño,5107," 1,199 ",Templado
Antioquia,Peque,5543," 1,200 ",Templado
Antioquia,Yalí,5885," 1,200 ",Templado
Boyacá,Quipama,15580," 1,200 ",Templado
Cesar,Pueblo Bello,20570," 1,200 ",Templado
Cundinamarca,Chaguaní,25168," 1,200 ",Templado
Huila,Palestina,41530," 1,200 ",Templado
Santander,San Benito,68673," 1,200 ",Templado
Norte de Santander,Ocaña,54498," 1,202 ",Templado
Cauca,Sucre,19785," 1,208 ",Templado
Antioquia,Bolívar,5101," 1,230 ",Templado
Cundinamarca,La Peña,25398," 1,230 ",Templado
Cundinamarca,La Vega,25402," 1,230 ",Templado
Santander,Socorro,68755," 1,230 ",Templado
Cesar,Gonzalez,20310," 1,240 ",Templado
Antioquia,Sabanalarga,5628," 1,250 ",Templado
Boyacá,Maripí,15442," 1,250 ",Templado
Boyacá,Tunungua,15832," 1,250 ",Templado
Cauca,Argelia,19050," 1,250 ",Templado
Huila,Oporapa,41503," 1,250 ",Templado
Santander,Ocamonte,68498," 1,250 ",Templado
Santander,Valle de San José,68855," 1,250 ",Templado
Santander,Villanueva,68872," 1,250 ",Templado
Casanare,Sácama,85315," 1,250 ",Templado
Huila,Pitalito,41551," 1,259 ",Templado
Valle del Cauca,Trujillo,76828," 1,260 ",Templado
Antioquia,Salgar,5642," 1,270 ",Templado
Cundinamarca,Guayabetal,25335," 1,270 ",Templado
Cundinamarca,Pulí,25580," 1,270 ",Templado
Tolima,Anzoátegui,73043," 1,270 ",Templado
Cundinamarca,Caparrapí,25148," 1,271 ",Templado
Norte de Santander,Cucutilla,54223," 1,277 ",Templado
Antioquia,Cocorná,5197," 1,286 ",Templado
Valle del Cauca,Alcalá,76020," 1,290 ",Templado
Santander,Charalá,68167," 1,291 ",Templado
Quindio,Montenegro,63470," 1,294 ",Templado
Antioquia,Barbosa,5079," 1,300 ",Templado
Antioquia,Cañasgordas,5138," 1,300 ",Templado
Boyacá,Campohermoso,15135," 1,300 ",Templado
Santander,Hato,68344," 1,300 ",Templado
Cundinamarca,San Juan de Río Seco,25662," 1,303 ",Templado
Caldas,Marmato,17442," 1,310 ",Templado
Cundinamarca,El Peñón,25258," 1,310 ",Templado
Santander,Los Santos,68418," 1,310 ",Templado
Huila,Saladoblanco,41660," 1,316 ",Templado
Antioquia,Frontino,5284," 1,317 ",Templado
Cundinamarca,Topaipí,25823," 1,323 ",Templado
Antioquia,Tarso,5792," 1,335 ",Templado
Antioquia,Venecia,5861," 1,335 ",Templado
Santander,Barichara,68079," 1,336 ",Templado
Boyacá,Briceño,15106," 1,340 ",Templado
Huila,Acevedo,41006," 1,348 ",Templado
Santander,Guapota,68322," 1,350 ",Templado
Valle del Cauca,Ulloa,76845," 1,350 ",Templado
Antioquia,Valparaiso,5856," 1,358 ",Templado
Nariño,Ancuya,52036," 1,358 ",Templado
Antioquia,Andes,5034," 1,360 ",Templado
Tolima,Alpujarra,73024," 1,361 ",Templado
Antioquia,Támesis,5789," 1,368 ",Templado
Caldas,Chinchiná,17174," 1,378 ",Templado
Risaralda,La Celia,66383," 1,380 ",Templado
Cundinamarca,Tena,25797," 1,384 ",Templado
Tolima,Palocabildo,73520," 1,387 ",Templado
Antioquia,Amagá,5030," 1,392 ",Templado
Santander,Guadalupe,68320," 1,395 ",Templado
Norte de Santander,Ábrego,54003," 1,398 ",Templado
Boyacá,La Victoria,15401," 1,400 ",Templado
Valle del Cauca,Restrepo,76606," 1,400 ",Templado
Antioquia,Medellín,5001," 1,405 ",Templado
Santander,Páramo,68533," 1,410 ",Templado
Risaralda,Pereira,66001," 1,411 ",Templado
Cundinamarca,Bituima,25095," 1,412 ",Templado
Antioquia,Bello,5088," 1,414 ",Templado
Cundinamarca,Yacopí,25885," 1,416 ",Templado
Cundinamarca,Arbeláez,25053," 1,417 ",Templado
Santander,Curití,68229," 1,419 ",Templado
Santander,Oiba,68500," 1,420 ",Templado
Antioquia,Girardota,5308," 1,425 ",Templado
Huila,Elías,41244," 1,425 ",Templado
Quindio,Quimbaya,63594," 1,425 ",Templado
Valle del Cauca,El Dovio,76250," 1,434 ",Templado
Antioquia,Heliconia,5347," 1,440 ",Templado
Tolima,Dolores,73236," 1,445 ",Templado
Risaralda,Dos Quebradas,66170," 1,448 ",Templado
Tolima,San Antonio,73675," 1,448 ",Templado
Antioquia,Yolombó,5890," 1,450 ",Templado
Norte de Santander,La Playa,54398," 1,450 ",Templado
Quindio,Buenavista,63111," 1,450 ",Templado
Santander,Coromoro,68217," 1,450 ",Templado
Tolima,Planadas,73555," 1,450 ",Templado
Antioquia,Copacabana,5212," 1,454 ",Templado
Caldas,Samaná,17662," 1,460 ",Templado
Cundinamarca,La Palma,25394," 1,462 ",Templado
Cundinamarca,Silvania,25743," 1,470 ",Templado
Huila,Nátaga,41483," 1,480 ",Templado
Valle del Cauca,Calima (Darién),76126," 1,485 ",Templado
Cundinamarca,Quetame,25594," 1,496 ",Templado
Cundinamarca,Viani,25867," 1,498 ",Templado
Antioquia,Uramita,5842," 1,500 ",Templado
Boyacá,Páez,15514," 1,500 ",Templado
Boyacá,Pisva,15550," 1,500 ",Templado
Nariño,Linares,52411," 1,500 ",Templado
Nariño,Magüi (Payán),52427," 1,500 ",Templado
Nariño,Samaniego,52678," 1,500 ",Templado
Nariño,Taminango,52786," 1,500 ",Templado
Quindio,Génova,63302," 1,500 ",Templado
Casanare,La Salina,85136," 1,500 ",Templado
Cundinamarca,San Antonio de Tequendama,25645," 1,503 ",Templado
Antioquia,San Francisco,5652," 1,508 ",Templado
Cundinamarca,Vergara,25862," 1,510 ",Templado
Risaralda,Belén de Umbría,66088," 1,510 ",Templado
Risaralda,Mistrató,66456," 1,518 ",Templado
Cauca,Cajibío,19130," 1,520 ",Templado
Cundinamarca,San Francisco,25658," 1,520 ",Templado
Boyacá,Miraflores,15455," 1,523 ",Templado
Santander,Confines,68209," 1,523 ",Templado
Boyacá,Berbeo,15090," 1,525 ",Templado
Boyacá,San José de Pare,15664," 1,525 ",Templado
Antioquia,Anorí,5040," 1,535 ",Templado
Santander,Guepsa,68327," 1,540 ",Templado
Antioquia,Amalfi,5031," 1,550 ",Templado
Antioquia,Betania,5091," 1,550 ",Templado
Antioquia,Sabaneta,5631," 1,550 ",Templado
Antioquia,Titiribí,5809," 1,550 ",Templado
Meta,San Juanito,50686," 1,550 ",Templado
Norte de Santander,Ragonvalia,54599," 1,550 ",Templado
Risaralda,Balboa,66075," 1,550 ",Templado
Santander,Matanza,68444," 1,550 ",Templado
Caquetá,Florencia,18001," 1,558 ",Templado
Risaralda,Pueblo Rico,66572," 1,560 ",Templado
Risaralda,Santuario,66687," 1,560 ",Templado
Valle del Cauca,Argelia,76054," 1,560 ",Templado
Tolima,Líbano,73411," 1,565 ",Templado
Norte de Santander,Labateca,54377," 1,566 ",Templado
Norte de Santander,La Esperanza,54385," 1,566 ",Templado
Quindio,Calarcá,63130," 1,573 ",Templado
Antioquia,Ituango,5361," 1,575 ",Templado
Cundinamarca,Villagómez,25871," 1,575 ",Templado
Risaralda,Marsella,66440," 1,575 ",Templado
Nariño,Sotomayor (Los Andes),52418," 1,588 ",Templado
Santander,Barbosa,68077," 1,588 ",Templado
Boyacá,Santana,15686," 1,591 ",Templado
Cauca,Páez (Belalcazar),19517," 1,591 ",Templado
Valle del Cauca,La Cumbre,76377," 1,591 ",Templado
Boyacá,Tenza,15798," 1,600 ",Templado
Caldas,Marquetalia,17444," 1,600 ",Templado
Cundinamarca,Cachipay,25123," 1,600 ",Templado
Cundinamarca,San Bernardo,25649," 1,600 ",Templado
Nariño,Cumbitara,52233," 1,600 ",Templado
Nariño,El Rosario,52256," 1,600 ",Templado
Norte de Santander,Villa Caro,54871," 1,600 ",Templado
Santander,Contratación,68211," 1,600 ",Templado
Santander,Suaita,68770," 1,610 ",Templado
Valle del Cauca,Sevilla,76736," 1,612 ",Templado
Antioquia,Betulia,5093," 1,615 ",Templado
Santander,San Andrés,68669," 1,617 ",Templado
Caldas,Filadelfia,17272," 1,620 ",Templado
Quindio,Armenia,63001," 1,621 ",Templado
Santander,Puente Nacional,68572," 1,625 ",Templado
Antioquia,Itagüí,5360," 1,627 ",Templado
Caldas,Palestina,17524," 1,630 ",Templado
Cauca,Balboa,19075," 1,630 ",Templado
Cundinamarca,Guayabal de Siquima,25328," 1,630 ",Templado
Caldas,Belalcázar,17088," 1,632 ",Templado
Antioquia,Toledo,5819," 1,634 ",Templado
Cauca,Morales,19473," 1,635 ",Templado
Antioquia,Angostura,5038," 1,637 ",Templado
Nariño,Consaca,52207," 1,640 ",Templado
Norte de Santander,Toledo,54820," 1,642 ",Templado
Antioquia,Burítica,5113," 1,643 ",Templado
Cundinamarca,Tibacuy,25805," 1,647 ",Templado
Antioquia,Alejandria,5021," 1,650 ",Templado
Boyacá,Chitaraque,15185," 1,650 ",Templado
Boyacá,Toguí,15816," 1,650 ",Templado
Nariño,El Tablón de Gómez,52258," 1,650 ",Templado
Norte de Santander,San Calixto,54670," 1,650 ",Templado
Nariño,Nariño,52480," 1,656 ",Templado
Cundinamarca,Anolaima,25040," 1,657 ",Templado
Boyacá,Zetaquirá,15897," 1,661 ",Templado
Boyacá,Moniquirá,15469," 1,669 ",Templado
Boyacá,Garagoa,15299," 1,675 ",Templado
Boyacá,Somondoco,15761," 1,680 ",Templado
Cauca,Piendamó,19548," 1,685 ",Templado
Huila,San Agustín,41668," 1,695 ",Templado
Cauca,Santa Rosa,19701," 1,697 ",Templado
Antioquia,Campamento,5134," 1,700 ",Templado
Boyacá,Guayatá,15325," 1,700 ",Templado
Cauca,Florencia,19290," 1,700 ",Templado
Quindio,Cordobá,63212," 1,700 ",Templado
Quindio,Pijao,63548," 1,700 ",Templado
Santander,Mogotes,68464," 1,700 ",Templado
Caldas,San José,17665," 1,710 ",Templado
Cundinamarca,Gachalá,25293," 1,712 ",Templado
Cauca,Rosas,19622," 1,714 ",Templado
Risaralda,Santa Rosa de Cabal,66682," 1,715 ",Templado
Norte de Santander,Pamplonita,54520," 1,725 ",Templado
Antioquia,Envigado,5266," 1,726 ",Templado
Nariño,La Unión,52399," 1,727 ",Templado
Cauca,Bolívar,19100," 1,730 ",Templado
Cauca,Toribío,19821," 1,737 ",Templado
Santander,Zapatoca,68895," 1,737 ",Templado
Santander,Sucre,68773," 1,740 ",Templado
Antioquia,San Roque,5670," 1,741 ",Templado
Caldas,Risaralda,17616," 1,743 ",Templado
Cundinamarca,Gachetá,25297," 1,745 ",Templado
Cundinamarca,Cáqueza,25151," 1,746 ",Templado
Antioquia,Argelia,5055," 1,750 ",Templado
Antioquia,Caldas,5129," 1,750 ",Templado
Cauca,Popayán,19001," 1,750 ",Templado
Cauca,El Tambo,19256," 1,750 ",Templado
Nariño,Colón (Génova),52203," 1,750 ",Templado
Nariño,San Pablo,52693," 1,750 ",Templado
Nariño,San Pedro de Cartago,52694," 1,750 ",Templado
Santander,El Guacamayo,68245," 1,750 ",Templado
Santander,Suratá,68780," 1,750 ",Templado
Cauca,Inzá,19355," 1,754 ",Templado
Boyacá,Chinavita,15172," 1,757 ",Templado
Quindio,Circasia,63190," 1,772 ",Templado
Antioquia,La Estrella,5380," 1,775 ",Templado
Caldas,Salamina,17653," 1,775 ",Templado
Caldas,Río Sucio,17614," 1,783 ",Templado
Caldas,Anserma,17042," 1,790 ",Templado
Cundinamarca,Supatá,25777," 1,798 ",Templado
Cundinamarca,Pacho,25513," 1,799 ",Templado
Antioquia,Fredonia,5282," 1,800 ",Templado
Antioquia,Pueblorrico,5576," 1,800 ",Templado
Antioquia,Urrao,5847," 1,800 ",Templado
Santander,La Belleza,68377," 1,800 ",Templado
Valle del Cauca,El Águila,76243," 1,800 ",Templado
Santander,Aguada,68013," 1,802 ",Templado
Antioquia,Jardín,5364," 1,805 ",Templado
Santander,Aratoca,68051," 1,805 ",Templado
Antioquia,Santa Bárbara,5679," 1,806 ",Templado
Antioquia,Carolina,5150," 1,807 ",Templado
Antioquia,Armenia,5059," 1,808 ",Templado
Nariño,Mallama (Piedrancha),52435," 1,809 ",Templado
Boyacá,Guateque,15322," 1,810 ",Templado
Tolima,Cajamarca,73124," 1,814 ",Templado
Nariño,Sandoná,52683," 1,817 ",Templado
Caldas,La Merced,17388," 1,819 ",Templado
Caldas,Pácora,17513," 1,819 ",Templado
Antioquia,Caicedo,5125," 1,820 ",Templado
Santander,Betulia,68092," 1,820 ",Templado
Risaralda,Quinchía,66594," 1,825 ",Templado
Antioquia,Gómez Plata,5310," 1,828 ",Templado
Cauca,La Sierra,19392," 1,833 ",Templado
Antioquia,Guadalupe,5315," 1,850 ",Templado
Antioquia,Guatapé,5321," 1,850 ",Templado
Boyacá,Chívor,15236," 1,850 ",Templado
Boyacá,Macanal,15425," 1,850 ",Templado
Boyacá,Tipacoque,15810," 1,850 ",Templado
Santander,Tona,68820," 1,850 ",Templado
Valle del Cauca,El Cairo,76246," 1,850 ",Templado
Cauca,Timbío,19807," 1,852 ",Templado
Caldas,Manzanares,17433," 1,853 ",Templado
Valle del Cauca,Versalles,76863," 1,860 ",Templado
Antioquia,Concepción,5206," 1,862 ",Templado
Cundinamarca,Ubaque,25841," 1,867 ",Templado
Cundinamarca,Granada,25312," 1,890 ",Templado
Cundinamarca,Venecia (Ospina Pérez),25506," 1,890 ",Templado
Cundinamarca,Fómeque,25279," 1,895 ",Templado
Quindio,Salento,63690," 1,895 ",Templado
Antioquia,Nariño,5483," 1,900 ",Templado
Antioquia,Peñol,5541," 1,900 ",Templado
Santander,Enciso,68266," 1,900 ",Templado
Santander,Santa Bárbara,68705," 1,900 ",Templado
Antioquia,Angelópolis,5036," 1,917 ",Templado
Antioquia,Abriaquí,5004," 1,920 ",Templado
Caldas,Villamaría,17873," 1,920 ",Templado
Cauca,Caldono,19137," 1,920 ",Templado
Santander,San Miguel,68684," 1,920 ",Templado
Quindio,Filandia,63272," 1,923 ",Templado
Cundinamarca,Manta,25436," 1,924 ",Templado
Boyacá,Almeida,15022," 1,925 ",Templado
Santander,Albania,68020," 1,925 ",Templado
Cundinamarca,Choachí,25181," 1,927 ",Templado
Cundinamarca,Fusagasugá,25290," 1,930 ",Templado
Huila,La Argentina,41378," 1,930 ",Templado
Antioquia,Giraldo,5306," 1,932 ",Templado
Santander,La Paz,68397," 1,934 ",Templado
Nariño,Albán (San José),52019," 1,935 ",Templado
Santander,Gámbita,68298," 1,940 ",Templado
Cundinamarca,Ubalá,25839," 1,949 ",Templado
Antioquia,Santo Domingo,5690," 1,950 ",Templado
Boyacá,San Eduardo,15660," 1,950 ",Templado
Boyacá,Sutatenza,15778," 1,950 ",Templado
Nariño,Buesaco,52110," 1,950 ",Templado
Nariño,Chachaguí,52240," 1,950 ",Templado
Santander,Chipatá,68179," 1,950 ",Templado
Santander,Onzaga,68502," 1,950 ",Templado
Santander,San Joaquín,68682," 1,950 ",Templado
Norte de Santander,Herrán,54347," 1,955 ",Templado
Santander,Charta,68169," 1,955 ",Templado
Boyacá,Soatá,15753," 1,960 ",Templado
Caldas,Aranzazu,17050," 1,960 ",Templado
Antioquia,Jericó,5368," 1,967 ",Templado
Caldas,Neira,17486," 1,969 ",Templado
Boyacá,La Capilla,15380," 1,975 ",Templado
Cundinamarca,Tibirita,25807," 1,980 ",Templado
Santander,San José de Miranda,68686," 1,980 ",Templado
Antioquia,Concordia,5209," 2,000 ",Frío
Boyacá,Pachavita,15511," 2,000 ",Cálido húmedo
Huila,Isnos,41359," 2,000 ",Frío
Huila,Santa María,41676," 2,000 ",Cálido seco
Nariño,Leiva,52405," 2,000 ",Frío
Santander,Guavatá,68324," 2,000 ",Templado
Putumayo,Colón,86219," 2,000 ",Cálido húmedo
Santander,Concepción,68207," 2,005 ",Frío
Norte de Santander,Cáchira,54128," 2,025 ",Frío
Antioquia,Granada,5313," 2,050 ",Frío
Caldas,Pensilvania,17541," 2,050 ",Frío
Santander,California,68132," 2,050 ",Frío
Boyacá,Jenesano,15367," 2,075 ",Frío
Boyacá,Rondón,15621," 2,075 ",Frío
Santander,Carcasí,68152," 2,080 ",Frío
Tolima,Casabianca,73152," 2,081 ",Frío
Boyacá,Tibaná,15804," 2,085 ",Frío
Boyacá,Sutamarchán,15776," 2,093 ",Frío
Cundinamarca,Machetá,25426," 2,094 ",Frío
Antioquia,Marinilla,5440," 2,100 ",Frío
Antioquia,Santuario,5697," 2,100 ",Frío
Nariño,San Bernardo,52685," 2,100 ",Frío
Putumayo,San Francisco,86755," 2,100 ",Frío
Antioquia,Ríonegro,5615," 2,109 ",Frío
Boyacá,Tinjacá,15808," 2,113 ",Frío
Antioquia,Caramanta,5145," 2,115 ",Frío
Antioquia,Abejorral,5002," 2,125 ",Frío
Boyacá,El Espino,15248," 2,128 ",Frío
Santander,Bolívar,68101," 2,130 ",Frío
Cauca,La Vega,19397," 2,136 ",Frío
Santander,Vélez,68861," 2,140 ",Frío
Boyacá,Villa de Leiva,15407," 2,146 ",Frío
Caldas,Manizales,17001," 2,146 ",Frío
Antioquia,Carmen de Viboral,5148," 2,150 ",Frío
Antioquia,Guarne,5318," 2,150 ",Frío
Boyacá,Ráquira,15600," 2,150 ",Frío
Nariño,San Lorenzo,52687," 2,150 ",Frío
Boyacá,Sáchica,15638," 2,152 ",Frío
Antioquia,Don Matías,5237," 2,156 ",Frío
Boyacá,Boavita,15097," 2,161 ",Frío
Caldas,Aguadas,17013," 2,170 ",Frío
Antioquia,Retiro,5607," 2,179 ",Frío
Cundinamarca,Gama,25299," 2,180 ",Frío
Cundinamarca,Pasca,25535," 2,180 ",Frío
Nariño,La Florida,52381," 2,180 ",Frío
Boyacá,Guacamayas,15317," 2,195 ",Frío
Santander,Molagavita,68468," 2,196 ",Frío
Antioquia,San Vicente,5674," 2,197 ",Frío
Boyacá,Buenavista,15109," 2,197 ",Frío
Antioquia,La Ceja,5376," 2,200 ",Frío
Nariño,Arboleda (Berruecos),52051," 2,200 ",Frío
Tolima,Villahermosa,73870," 2,200 ",Frío
Cundinamarca,San Cayetano,25653," 2,208 ",Frío
Boyacá,Paz de Río,15537," 2,213 ",Frío
Boyacá,San Mateo,15673," 2,221 ",Frío
Cundinamarca,Albán,25019," 2,245 ",Frío
Boyacá,Panqueba,15522," 2,250 ",Frío
Nariño,El Tambo,52260," 2,250 ",Frío
Tolima,Herveo,73347," 2,250 ",Frío
Tolima,Santa Isabel,73686," 2,250 ",Frío
Cauca,Jambaló,19364," 2,282 ",Frío
Norte de Santander,Pamplona,54518," 2,297 ",Frío
Antioquia,Entrerríos,5264," 2,300 ",Frío
Antioquia,Yarumal,5887," 2,300 ",Frío
Cundinamarca,Junín,25372," 2,300 ",Frío
Nariño,Funes,52287," 2,300 ",Frío
Nariño,La Llanada,52385," 2,300 ",Frío
Nariño,Providencia,52565," 2,300 ",Frío
Santander,Encino,68264," 2,300 ",Frío
Boyacá,Ramiriquí,15599," 2,313 ",Frío
Cauca,Almaguer,19022," 2,313 ",Frío
Santander,Guaca,68318," 2,320 ",Frío
Santander,Macaravita,68425," 2,320 ",Frío
Antioquia,Montebello,5467," 2,350 ",Frío
Cundinamarca,Gutiérrez,25339," 2,350 ",Frío
Norte de Santander,Chitagá,54174," 2,350 ",Frío
Boyacá,La Uvita,15403," 2,367 ",Frío
Boyacá,Santa Sofía,15696," 2,370 ",Frío
Cundinamarca,Une,25845," 2,376 ",Frío
Boyacá,Corrales,15215," 2,388 ",Frío
Boyacá,Chiscas,15180," 2,400 ",Frío
Boyacá,Socotá,15755," 2,400 ",Frío
Cundinamarca,Chipaque,25178," 2,400 ",Frío
Nariño,Tangua,52788," 2,400 ",Frío
Norte de Santander,Cácota,54125," 2,400 ",Frío
Santander,Jesús María,68368," 2,400 ",Frío
Boyacá,Boyacá,15104," 2,411 ",Frío
Antioquia,La Unión,5400," 2,443 ",Frío
Antioquia,San Pedro,5664," 2,450 ",Frío
Boyacá,Gachantivá,15293," 2,450 ",Frío
Boyacá,Nuevo Colón,15494," 2,450 ",Frío
Boyacá,Turmequé,15835," 2,450 ",Frío
Cauca,Sotara (Paispamba),19760," 2,450 ",Frío
Nariño,Belén,52083," 2,450 ",Frío
Antioquia,Sonsón,5756," 2,475 ",Frío
Boyacá,Susacón,15774," 2,484 ",Frío
Santander,El Peñon,68250," 2,488 ",Frío
Boyacá,Duitama,15238," 2,493 ",Frío
Boyacá,Busbanza,15114," 2,500 ",Frío
Boyacá,Firavitoba,15272," 2,500 ",Frío
Boyacá,Floresta,15276," 2,500 ",Frío
Boyacá,Izá,15362," 2,500 ",Frío
Boyacá,Nobsa,15491," 2,500 ",Frío
Boyacá,Tibasosa,15806," 2,500 ",Frío
Boyacá,Úmbita,15842," 2,500 ",Frío
Boyacá,Viracachá,15879," 2,500 ",Frío
Nariño,Contadero,52210," 2,500 ",Frío
Nariño,Imúes,52354," 2,500 ",Frío
Nariño,La Cruz,52378," 2,500 ",Frío
Santander,Cerrito,68162," 2,500 ",Frío
Boyacá,Paipa,15516," 2,513 ",Frío
Cundinamarca,Mosquera,25473," 2,516 ",Frío
Antioquia,Belmira,5086," 2,520 ",Frío
Cauca,Silvia,19743," 2,521 ",Frío
Boyacá,Oicatá,15500," 2,525 ",Frío
Boyacá,Tasco,15790," 2,525 ",Frío
Boyacá,San Miguel de Sema,15676," 2,543 ",Frío
Nariño,San Juan de Pasto,52001," 2,543 ",Frío
Cundinamarca,Funza,25286," 2,548 ",Frío
Antioquia,Santa Rosa de Osos,5686," 2,550 ",Frío
Cundinamarca,Sutatausa,25781," 2,550 ",Frío
Cundinamarca,Madrid,25430," 2,554 ",Frío
Cundinamarca,Soacha,25754," 2,554 ",Frío
Boyacá,Chiquinquirá,15176," 2,556 ",Frío
Cundinamarca,Ubaté,25843," 2,556 ",Frío
Cundinamarca,Cajicá,25126," 2,558 ",Frío
Cundinamarca,Simijaca,25745," 2,559 ",Frío
Boyacá,Caldas,15131," 2,560 ",Frío
Cundinamarca,Cabrera,25120," 2,560 ",Frío
Cundinamarca,Chía,25175," 2,562 ",Frío
Cundinamarca,Cota,25214," 2,566 ",Frío
Cundinamarca,Gachancipá,25295," 2,568 ",Frío
Cundinamarca,Tabio,25785," 2,569 ",Frío
Boyacá,Beteitiva,15092," 2,570 ",Frío
Cauca,Totoró,19824," 2,570 ",Frío
Boyacá,Sogamoso,15759," 2,579 ",Frío
Antioquia,San José de Montaña,5658," 2,580 ",Frío
Cundinamarca,Sopó,25758," 2,580 ",Frío
Cundinamarca,Suesca,25772," 2,584 ",Frío
Cundinamarca,Nemocón,25486," 2,585 ",Frío
Cundinamarca,El Rosal,25260," 2,586 ",Frío
Cundinamarca,Facatativá,25269," 2,586 ",Frío
Cundinamarca,Tenjo,25799," 2,587 ",Frío
Cundinamarca,Lenguazaque,25407," 2,589 ",Frío
Cundinamarca,Cucunubá,25224," 2,590 ",Frío
Cundinamarca,Sesquilé,25736," 2,595 ",Frío
Cundinamarca,Bojacá,25099," 2,598 ",Frío
Cundinamarca,Zipacón,25898," 2,598 ",Frío
Boyacá,Chíquiza,15232," 2,600 ",Frío
Boyacá,Pesca,15542," 2,600 ",Frío
Boyacá,Sativanorte,15720," 2,600 ",Frío
Boyacá,Sativasur,15723," 2,600 ",Frío
Boyacá,Tuta,15837," 2,600 ",Frío
Cundinamarca,Sibaté,25740," 2,600 ",Frío
