cod_mun, Longitud , Latitud 
13620, 9.88333 ,-75.25000 
13647, 10.39833 ,-75.15111 
13650, 9.08333 ,-74.33333 
13654, 9.83333 ,-75.08333 
13655, 9.83167 ,-75.12639 
13657, 9.95667 ,-75.08667 
13667, 8.83333 ,-73.91667 
13670, 10.05278 ,-75.26806 
13673, 10.58333 ,-75.25000 
13683, 10.45000 ,-75.33333 
13688, 7.96444 ,-74.05444 
13744, 7.58333 ,-74.16667 
13760, 10.33333 ,-75.10000 
13780, 9.30694 ,-74.56861 
13810, 8.55972 ,-74.26694 
13836, 10.35000 ,-75.33333 
13838, 10.25000 ,-75.41667 
13873, 10.45000 ,-75.25000 
13894, 9.75000 ,-74.83333 
15001, 5.53528 ,-73.36778 
15022, 4.91667 ,-73.33333 
15047, 5.51972 ,-72.88750 
15051, 5.80000 ,-73.38333 
15087, 6.08333 ,-72.91667 
15090, 5.33333 ,-73.00000 
15092, 6.00000 ,-72.83333 
15097, 6.41667 ,-72.58333 
15104, 5.50000 ,-72.50000 
15106, 5.75000 ,-73.83333 
15109, 5.50000 ,-73.96667 
15114, 5.91667 ,-72.85000 
15131, 5.55000 ,-73.88333 
15135, 5.08333 ,-73.00000 
15162, 6.00000 ,-72.91667 
15172, 5.25000 ,-73.33333 
15176, 5.63333 ,-73.75000 
15180, 6.75000 ,-72.33333 
15183, 6.16667 ,-72.41667 
15185, 6.08333 ,-73.36667 
15187, 5.53333 ,-73.26667 
15189, 5.46667 ,-73.25000 
15204, 5.75000 ,-73.25000 
15212, 5.43333 ,-74.03333 
15215, 5.86667 ,-72.83333 
15218, 6.58333 ,-72.70000 
15223, 7.04111 ,-72.06083 
15224, 5.53333 ,-73.46667 
15226, 5.65000 ,-72.91667 
15232, 5.60833 ,-73.48861 
15236, 4.88556 ,-73.36889 
15238, 5.82694 ,-73.02028 
15244, 6.41667 ,-72.41667 
15248, 6.58333 ,-72.41667 
15272, 5.75000 ,-72.96667 
15276, 5.91667 ,-72.91667 
15293, 5.75000 ,-73.50000 
15296, 5.85000 ,-72.75000 
15299, 5.13333 ,-73.30000 
15317, 6.50000 ,-72.50000 
15322, 5.08333 ,-73.50000 
15325, 5.00000 ,-73.50000 
15332, 6.75000 ,-72.16667 
15362, 5.66667 ,-72.91667 
15367, 5.38889 ,-73.36806 
15368, 6.20000 ,-72.58333 
15377, 5.58333 ,-72.58333 
15380, 5.15000 ,-73.45000 
15401, 5.52583 ,-74.23611 
15403, 6.33333 ,-72.50000 
15407, 5.63333 ,-73.53333 
15425, 4.91667 ,-73.25000 
15442, 5.58333 ,-74.00000 
15455, 5.25000 ,-73.16667 
15464, 5.83333 ,-72.66667 
15466, 5.75000 ,-72.83333 
15469, 5.91667 ,-73.50000 
15476, 5.57972 ,-73.37139 
15480, 5.51667 ,-74.11667 
15491, 5.83333 ,-72.91667 
15494, 5.41667 ,-73.41667 
15500, 5.60000 ,-73.31667 
15507, 5.75000 ,-74.25000 
15511, 5.13333 ,-73.40000 
15514, 5.10444 ,-73.05556 
15516, 5.83333 ,-73.10000 
15518, 5.41667 ,-72.66667 
15522, 6.50000 ,-72.41667 
15531, 5.75000 ,-73.91667 
15533, 5.66667 ,-72.38167 
15537, 6.08333 ,-72.75000 
15542, 5.58333 ,-73.05000 
15550, 5.74278 ,-72.48944 
15572, 5.97806 ,-74.58972 
15580, 5.52222 ,-74.18083 
15599, 5.41667 ,-73.33333 
15600, 5.61667 ,-73.63333 
15621, 5.41667 ,-73.16667 
15632, 5.75000 ,-73.70000 
15638, 5.66667 ,-73.50000 
15646, 5.50000 ,-73.50000 
15660, 5.21667 ,-73.13333 
15664, 6.08333 ,-73.46667 
15667, 4.82139 ,-73.16750 
15673, 6.50000 ,-72.50000 
15676, 5.55000 ,-73.75000 
15681, 5.75000 ,-74.08333 
15686, 6.05722 ,-73.48222 
15690, 4.86167 ,-73.26417 
15693, 5.91667 ,-73.00000 
15696, 5.75000 ,-73.58333 
15720, 6.16667 ,-72.66667 
15723, 6.13333 ,-72.66667 
15740, 5.58333 ,-73.16667 
15753, 6.41667 ,-72.66667 
15755, 6.08333 ,-72.58333 
15757, 6.00000 ,-72.66667 
15759, 5.72056 ,-72.92972 
15761, 4.98778 ,-73.43611 
15762, 5.56667 ,-73.43333 
15763, 5.83333 ,-73.25000 
15764, 5.50000 ,-73.31667 
15774, 6.26667 ,-72.66667 
15776, 5.66667 ,-73.58333 
15778, 5.01667 ,-73.45000 
15790, 5.91667 ,-72.70000 
15798, 5.15000 ,-73.45000 
15804, 5.33333 ,-73.38333 
15806, 5.83333 ,-72.96667 
15808, 5.63333 ,-73.65000 
15810, 6.42333 ,-72.69528 
15814, 5.66667 ,-73.16667 
15816, 5.95000 ,-73.41667 
15820, 5.83333 ,-72.83333 
15822, 5.50000 ,-73.00000 
15832, 5.73333 ,-73.93333 
15835, 5.33333 ,-73.50000 
15837, 5.75000 ,-73.16667 
15839, 6.16667 ,-72.83333 
15842, 5.23333 ,-73.45000 
15861, 5.41667 ,-73.50000 
15879, 5.50000 ,-73.25000 
15897, 5.35000 ,-73.16667 
17001, 5.07000 ,-75.52056 
17013, 5.63333 ,-75.41667 
17042, 5.25000 ,-75.75000 
17050, 5.30000 ,-75.45000 
17088, 5.00000 ,-75.83333 
17174, 5.00000 ,-75.66667 
17272, 5.30000 ,-75.60000 
17380, 5.53333 ,-74.70000 
17388, 5.40194 ,-75.88472 
17433, 5.25000 ,-75.16667 
17442, 5.50000 ,-75.58333 
17444, 5.33333 ,-75.00000 
17446, 5.33333 ,-75.25000 
17486, 5.16667 ,-75.50000 
17495, 5.56667 ,-74.88333 
17513, 5.50000 ,-75.50000 
17524, 5.08333 ,-75.66667 
17541, 5.50000 ,-75.08333 
17614, 5.37917 ,-75.61611 
17616, 5.16667 ,-75.75000 
17653, 5.41667 ,-75.41667 
17662, 5.58333 ,-74.91667 
17665, 5.08583 ,-75.78833 
17777, 5.50000 ,-75.63333 
17867, 4.52389 ,-76.04111 
17873, 5.00000 ,-75.50000 
17877, 5.08333 ,-75.86667 
18001, 1.61750 ,-75.61750 
18029, 1.33167 ,-75.88222 
18094, 1.41667 ,-75.91667 
18150, 1.35000 ,-74.84000 
18205, 1.03528 ,-75.92472 
18247, 1.67944 ,-75.27917 
18256, 1.56400 ,-75.33200 
18410, 1.58333 ,-75.25000 
18460, 1.34833 ,-75.51167 
18479, 1.48750 ,-75.72500 
18592, 1.91417 ,-75.14500 
18610, 1.36111 ,-75.98833 
18753, 2.15250 ,-74.78889 
18756, 0.71472 ,-75.24861 
18785, 0.90000 ,-75.62300 
18860, 1.19917 ,-75.70972 
19001, 3.27750 ,-75.62139 
19022, 1.91667 ,-76.83333 
19050, 2.26667 ,-77.25000 
19075, 2.10000 ,-77.20000 
19100, 1.83333 ,-76.91667 
19110, 2.91667 ,-76.66667 
19130, 2.66667 ,-76.66667 
19137, 2.83333 ,-76.41667 
19142, 3.08333 ,-76.33333 
19212, 3.16667 ,-76.20000 
19256, 2.50000 ,-77.00000 
19290, 1.69444 ,-77.07583 
19300, 3.13333 ,-76.38333 
19318, 2.41667 ,-77.60000 
19355, 2.66667 ,-76.08333 
19364, 2.85000 ,-76.31667 
19392, 2.25000 ,-76.83333 
19397, 2.08333 ,-76.83333 
19418, 2.43333 ,-76.80000 
19450, 1.75000 ,-77.16667 
19455, 3.25000 ,-76.25000 
19473, 2.80000 ,-76.66667 
19513, 3.06667 ,-76.31667 
19517, 5.10444 ,-73.05556 
19532, 2.11556 ,-76.98917 
19533, 7.78333 ,-75.20000 
19548, 2.75000 ,-76.50000 
19573, 3.25000 ,-76.41667 
19585, 2.34806 ,-76.50083 
19622, 2.33333 ,-76.75000 
19693, 1.91667 ,-76.66667 
19698, 3.01306 ,-76.48667 
19701, 1.50000 ,-76.50000 
19743, 2.75000 ,-76.33333 
19760, 2.25667 ,-76.61861 
19780, 2.95889 ,-76.69528 
19785, 2.03333 ,-76.91667 
19807, 2.41667 ,-76.75000 
19809, 2.75000 ,-77.58333 
19821, 3.00000 ,-76.16667 
19824, 2.58333 ,-76.33333 
19845, 2.51361 ,-76.84778 
20001, 10.47694 ,-73.25056 
20011, 8.33333 ,-73.58333 
20013, 9.91667 ,-73.25000 
20032, 9.50111 ,-73.98028 
20045, 9.70500 ,-73.28472 
20060, 9.97611 ,-73.89028 
20175, 9.25778 ,-73.81778 
20178, 9.50000 ,-73.41667 
20228, 9.20417 ,-73.54861 
20238, 10.15056 ,-73.96500 
20250, 9.66222 ,-73.75194 
20295, 8.33333 ,-73.66667 
20310, 8.40000 ,-73.33333 
20383, 8.58333 ,-73.58333 
20400, 9.56417 ,-73.33750 
20443, 10.39278 ,-73.03250 
20517, 8.96611 ,-73.63167 
20550, 8.69167 ,-73.66639 
20570, 10.36667 ,-73.63333 
20614, 8.00000 ,-73.50000 
20621, 10.16667 ,-73.25000 
20710, 7.75250 ,-73.38917 
20750, 10.33750 ,-73.18250 
20770, 8.00472 ,-73.51528 
20787, 8.83333 ,-73.58333 
23001, 8.75750 ,-75.89000 
23068, 8.25000 ,-75.25000 
23079, 8.75750 ,-75.89000 
23090, 8.67611 ,-76.20417 
23162, 8.91667 ,-76.00000 
23168, 9.08333 ,-75.63333 
23182, 9.08333 ,-75.33333 
23189, 8.83333 ,-75.66667 
23300, 9.05000 ,-75.80000 
23417, 9.16667 ,-75.83333 
23419, 8.90000 ,-76.35972 
23464, 9.23722 ,-75.67806 
23466, 7.75000 ,-75.66667 
23500, 8.25000 ,-76.05000 
23555, 8.33333 ,-75.58333 
23570, 8.23333 ,-74.96667 
23574, 8.95000 ,-76.25000 
23580, 4.60000 ,-74.11667 
23586, 9.30000 ,-75.66667 
23660, 8.83333 ,-75.41667 
23670, 9.16667 ,-75.55000 
23672, 9.35000 ,-75.75000 
23675, 9.25000 ,-76.00000 
23678, 8.70000 ,-75.70000 
23682, 7.76700 ,-75.51700 
23686, 9.00000 ,-75.91667 
23807, 8.17361 ,-76.05917 
23815, 9.18333 ,-75.55000 
23855, 8.30000 ,-76.16667 
25001, 4.41667 ,-74.66667 
25019, 4.91667 ,-74.45000 
25035, 4.61667 ,-74.55000 
25040, 4.83333 ,-74.50000 
25053, 4.30000 ,-74.58333 
25086, 4.80000 ,-74.75000 
25095, 4.91667 ,-74.55000 
25099, 4.75000 ,-74.33333 
25120, 3.97806 ,-74.48583 
25123, 5.26667 ,-74.56667 
25126, 5.00000 ,-74.05000 
25148, 5.41667 ,-74.58333 
25151, 4.45000 ,-73.95000 
25154, 5.35028 ,-73.90528 
25168, 5.00000 ,-74.65000 
25175, 4.91667 ,-74.05000 
25178, 4.50000 ,-74.08333 
25181, 4.58333 ,-73.91667 
25183, 5.16667 ,-73.66667 
25200, 5.15000 ,-73.96667 
25214, 4.83333 ,-74.13333 
25224, 5.25000 ,-73.75000 
25245, 4.58333 ,-74.45000 
25258, 5.33333 ,-74.33333 
25260, 4.85000 ,-74.26667 
25269, 4.81667 ,-74.36667 
25279, 4.58333 ,-73.83333 
25281, 4.33333 ,-73.91667 
25286, 4.78333 ,-74.20000 
25288, 5.41667 ,-73.80000 
25290, 4.41667 ,-74.40000 
25293, 4.66667 ,-73.50000 
25295, 5.08333 ,-73.88333 
25297, 4.91667 ,-73.66667 
25299, 4.75000 ,-73.60000 
25307, 4.30306 ,-74.80083 
25312, 5.06667 ,-74.56667 
25317, 5.41667 ,-73.70000 
25320, 5.25000 ,-74.66667 
25322, 4.83333 ,-73.83333 
25324, 4.58333 ,-74.80000 
25326, 4.96667 ,-73.75000 
25328, 4.88139 ,-74.47028 
25335, 4.21639 ,-73.81333 
25339, 4.25000 ,-74.00000 
25368, 4.66667 ,-74.66667 
25372, 4.75000 ,-73.66667 
25377, 4.75000 ,-73.91667 
25386, 4.66667 ,-74.50000 
